cnpj;empresa;orgao;exercicio;maxima;media;minima;n_membros;n_membros_remunerados;total_orgao;fre_total_orgao;media_implicita;alertas;fre;data_referencia;versao;id_documento
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2009;1440000.0;860194.0;420582.0;3.0;0.0;2580582.0;2012;;;2012;2012-01-01;8;26937
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2010;1440000.0;863911.0;431734.0;3.0;0.0;2591734.0;2013;;;2013;2013-01-01;6;36647
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2011;1440000.0;926076.0;618229.0;3.0;0.0;2778229.0;2014;;;2014;2014-01-01;6;46444
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2012;1440000.0;935336.0;500560.0;3.0;0.0;2947604.0;2015;;;2015;2015-01-01;7;56144
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2013;1261010.0;1010939.0;1112809.0;3.33;3.33;3369798.0;2016;1011951.3513513514;media fora do intervalo min-max;2016;2016-01-01;9;65089
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2014;1246405.0;1009320.0;701570.0;4.0;4.0;4037279.0;2017;1009319.75;;2017;2017-01-01;8;73670
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2015;2036096.0;1499234.0;814584.0;4.0;4.0;5996936.0;2018;1499234.0;;2018;2018-01-01;17;83118
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2016;2956572.8;2258847.17;998276.57;3.58;3.58;8086673.08;2019;2258847.229050279;;2019;2019-01-01;8;92842
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2017;4157892.37;3383337.21;1080199.96;3.0;3.0;10150011.64;2019;3383337.2133333334;;2020;2020-01-01;13;104601
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2018;6319727.0;3824958.44;585098.54;3.5;3.5;13387354.57;2021;3824958.4485714287;;2021;2021-01-01;12;114619
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2019;6785396.0;4179393.0;1136692.0;3.3;3.3;13917588.7;2022;4217451.121212121;;2022;2022-01-01;11;127081
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2020;9889053.92;4672388.97;1934379.77;3.0;3.0;14017166.9;2023;4672388.966666667;;2023;2023-12-31;9;136975
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2021;9495431.83;5386990.88;1182849.57;2.75;2.75;14811990.88;2024;5386178.501818182;;2024;2024-12-31;23;147415
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2022;9243897.25;7774977.01;7471247.68;2.75;2.75;21381186.78;2025;7774977.010909092;;2025;2025-12-31;27;157959
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2023;6130466.93;5258548.06;4543630.24;3.0;3.0;15775644.17;2026;5258548.056666667;;2026;2026-12-31;3;161117
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2024;13899980.38;8538983.62;6451184.66;3.42;3.42;29203323.97;2026;8538983.616959063;;2026;2026-12-31;3;161117
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2025;7518994.01;6265240.72;4686212.1;5.0;5.0;31326203.58;2026;6265240.716;;2026;2026-12-31;3;161117
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho de Administração;2009;9600.0;4800.0;0.0;6.0;0.0;19200.0;2012;;;2012;2012-01-01;8;26937
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho de Administração;2010;9600.0;4800.0;0.0;7.0;0.0;19200.0;2013;;;2013;2013-01-01;6;36647
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho de Administração;2011;83440.0;54973.0;0.0;8.0;0.0;329840.0;2014;;;2014;2014-01-01;6;46444
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho de Administração;2012;120000.0;80000.0;0.0;8.0;0.0;480000.0;2015;;;2015;2015-01-01;7;56144
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho de Administração;2013;171000.0;172800.0;744000.0;7.5;7.5;1296000.0;2016;172800.0;media fora do intervalo min-max;2016;2016-01-01;9;65089
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho de Administração;2014;216000.0;201600.0;144000.0;10.0;10.0;2064000.0;2016;206400.0;media != total/n_remunerados;2016;2016-01-01;9;65089
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho de Administração;2015;216000.0;201600.0;144000.0;10.0;10.0;2016000.0;2018;201600.0;;2018;2018-01-01;17;83118
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho de Administração;2016;257562.48;205756.25;144000.0;10.0;10.0;2057562.48;2019;205756.248;;2019;2019-01-01;8;92842
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho de Administração;2017;672000.0;303157.0;172800.0;8.0;7.33;2222141.23;2019;303157.05729877215;;2020;2020-01-01;13;104601
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho de Administração;2018;1052688.0;441848.0;177600.0;7.0;6.0;2651088.0;2021;441848.0;;2021;2021-01-01;12;114619
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho de Administração;2019;1117146.0;508674.0;218880.0;7.0;6.0;3052046.24;2022;508674.37333333335;;2022;2022-01-01;11;127081
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho de Administração;2020;850061.52;475676.23;305640.0;7.0;6.0;2854057.36;2023;475676.2266666666;;2023;2023-12-31;9;136975
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho de Administração;2021;1018837.6;513415.52;384880.0;7.0;5.0;2671557.6;2024;534311.52;media != total/n_remunerados;2024;2024-12-31;23;147415
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho de Administração;2022;1141395.2;586896.64;448272.0;7.0;5.0;2934483.2;2025;586896.64;;2025;2025-12-31;27;157959
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho de Administração;2023;1184092.8;629591.14;515512.8;7.67;5.67;3569781.75;2026;629591.1375661376;;2026;2026-12-31;3;161117
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho de Administração;2024;1022346.25;734194.47;699648.4;8.75;6.75;4955812.65;2026;734194.4666666667;;2026;2026-12-31;3;161117
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho de Administração;2025;5834898.55;2014067.75;540000.0;8.0;6.0;12084406.53;2026;2014067.755;;2026;2026-12-31;3;161117
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho Fiscal;2018;99396.0;151388.16;76458.0;2.0;2.0;302776.33;2021;151388.165;media fora do intervalo min-max;2021;2021-01-01;12;114619
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho Fiscal;2019;191693.0;158788.0;147456.0;3.0;3.0;476364.8;2022;158788.26666666666;;2022;2022-01-01;11;127081
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho Fiscal;2020;159744.0;162179.76;122880.0;3.0;3.0;486539.27;2023;162179.75666666668;media fora do intervalo min-max;2023;2023-12-31;9;136975
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho Fiscal;2021;173588.48;151882.56;141029.6;3.0;3.0;455647.68;2024;151882.56;;2024;2024-12-31;23;147415
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho Fiscal;2022;198570.24;176266.61;165114.8;3.0;3.0;528799.84;2025;176266.6133333333;;2025;2025-12-31;27;157959
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho Fiscal;2023;217800.0;193340.0;181110.0;3.0;3.0;580020.0;2026;193340.0;;2026;2026-12-31;3;161117
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho Fiscal;2024;289000.0;256733.33;256733.33;3.0;3.0;770200.0;2026;256733.33333333334;;2026;2026-12-31;3;161117
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho Fiscal;2025;156000.0;332800.0;156000.0;1.25;1.25;416000.0;2026;332800.0;media fora do intervalo min-max;2026;2026-12-31;3;161117
