cnpj;empresa;orgao;exercicio;n_membros;n_membros_remunerados;salario;beneficios;participacoes_comites;outros_fixos;bonus;participacao_resultados;participacao_reunioes;comissoes;outros_variaveis;pos_emprego;cessacao_cargo;baseada_acoes;total_orgao;total_empresa;soma_verbas;dif_soma_total;alertas_82;desc_outras_fixas;desc_outras_variaveis;observacao;previsao;fre;data_referencia;versao;id_documento
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2009;3.0;0.0;2320474.0;0.0;0.0;0.0;0.0;260108.0;0.0;0.0;0.0;0.0;0.0;0.0;2580582.0;2599782.0;2580582.0;0.0;;;;O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão apurado mensalmente.Para não haver duplicidade, nos casos em que um mesmo administrador ocupe cargo na diretoria e no conselho de administração, a remuneração está computada apenas na diretoria estatutária.;False;2012;2012-01-01;8;26937
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho de Administração;2009;6.0;0.0;19200.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19200.0;2599782.0;19200.0;0.0;;;;O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão apurado mensalmente.Para não haver duplicidade, nos casos em que um mesmo administrador ocupe cargo na diretoria e no conselho de administração, a remuneração está computada apenas na diretoria estatutária.;False;2012;2012-01-01;8;26937
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2010;3.0;0.0;2322155.0;0.0;0.0;0.0;0.0;269579.0;0.0;0.0;0.0;0.0;0.0;0.0;2591734.0;2610934.0;2591734.0;0.0;;;;O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão apurado mensalmente.Para não haver duplicidade, nos casos em que um mesmo administrador ocupe cargo na diretoria e no conselho de administração, a remuneração está computada apenas na diretoria estatutária.;False;2013;2013-01-01;6;36647
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho de Administração;2010;7.0;0.0;19200.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19200.0;2610934.0;19200.0;0.0;;;;O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão apurado mensalmente.Para não haver duplicidade, nos casos em que um mesmo administrador ocupe cargo na diretoria e no conselho de administração, a remuneração está computada apenas na diretoria estatutária.;False;2013;2013-01-01;6;36647
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2011;3.0;0.0;2425206.0;0.0;0.0;0.0;0.0;353023.0;0.0;0.0;0.0;0.0;0.0;0.0;2778229.0;3108069.0;2778229.0;0.0;;;;(1)O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão apurado mensalmente. Os membros da Diretoria Estatutária que fazem parte do Conselho de Administração foram remunerados no exercício social de 2011 apenas como membros da Diretoria Estatutária;False;2014;2014-01-01;6;46444
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho de Administração;2011;8.0;0.0;329840.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;329840.0;3108069.0;329840.0;0.0;;;;(1)O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão apurado mensalmente. Os membros da Diretoria Estatutária que fazem parte do Conselho de Administração foram remunerados no exercício social de 2011 apenas como membros da Diretoria Estatutária;False;2014;2014-01-01;6;46444
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2012;3.0;0.0;2591264.0;0.0;0.0;0.0;0.0;214744.0;0.0;0.0;0.0;0.0;0.0;141596.0;2947604.0;3427604.0;2947604.0;0.0;;;;"(1) O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão apurado mensalmente. Para não haver duplicidade, nos casos em que um mesmo administrador ocupe cargo na diretoria e no conselho de administração, a remuneração está computada apenas na diretoria estatutária.(2) A Companhia entende que os valores constantes do item ""Remuneração Baseada em Ações"" não deve ser considerado como remuneração uma vez que as ações são adquiridas pelos seus funcionários. Assim, a indicação destes valores visam apenas atender uma exigência da CVM e não devem ser consideradas para efeitos trabalhistas, fiscais e previdenciários.";False;2015;2015-01-01;7;56144
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho de Administração;2012;8.0;0.0;480000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;480000.0;3427604.0;480000.0;0.0;;;;"(1) O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão apurado mensalmente. Para não haver duplicidade, nos casos em que um mesmo administrador ocupe cargo na diretoria e no conselho de administração, a remuneração está computada apenas na diretoria estatutária.(2) A Companhia entende que os valores constantes do item ""Remuneração Baseada em Ações"" não deve ser considerado como remuneração uma vez que as ações são adquiridas pelos seus funcionários. Assim, a indicação destes valores visam apenas atender uma exigência da CVM e não devem ser consideradas para efeitos trabalhistas, fiscais e previdenciários.";False;2015;2015-01-01;7;56144
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2013;3.33;0.0;1968849.0;177815.0;0.0;464096.0;0.0;171489.0;0.0;0.0;0.0;0.0;0.0;587549.0;3369798.0;4665798.0;3369798.0;0.0;;;;O número de membros de cada órgão apresentado nas tabelas a seguir corresponde ao número de membros de cada órgão a quem foi atribuída remuneração variável reconhecida nos resultados para cada exercício encerrado em 31 de dezembro nos anos abaixo indicadoA Companhia entende que os valores constantes em Remuneração Baseada em Ações não devem ser considerados como remuneração, uma vez que as ações são adquiridas pelos seus funcionários. Assim, a indicação destes valores visa apenas atender a uma exigência da CVM e não deve ser considerada para efeitos trabalhistas, fiscais e previdenciários.;False;2016;2016-01-01;9;65089
16.590.234/0001-76;AZZAS 2154 S.A.;Conselho de Administração;2013;7.5;0.0;875000.0;0.0;205000.0;216000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1296000.0;4665798.0;1296000.0;0.0;;;;O número de membros de cada órgão apresentado nas tabelas a seguir corresponde ao número de membros de cada órgão a quem foi atribuída remuneração variável reconhecida nos resultados para cada exercício encerrado em 31 de dezembro nos anos abaixo indicados. A Companhia entende que os valores constantes em Remuneração Baseada em Ações não devem ser considerados como remuneração, uma vez que as ações são adquiridas pelos seus funcionários. Assim, a indicação destes valores visa apenas atender a uma exigência da CVM e não deve ser considerada para efeitos trabalhistas, fiscais e previdenciários.;False;2016;2016-01-01;9;65089
