cnpj;empresa;orgao;exercicio;n_membros;n_membros_remunerados;salario;beneficios;participacoes_comites;outros_fixos;bonus;participacao_resultados;participacao_reunioes;comissoes;outros_variaveis;pos_emprego;cessacao_cargo;baseada_acoes;total_orgao;total_empresa;soma_verbas;dif_soma_total;alertas_82;desc_outras_fixas;desc_outras_variaveis;observacao;previsao;fre;data_referencia;versao;id_documento
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2009;3.0;0.0;2320474.0;0.0;0.0;0.0;0.0;260108.0;0.0;0.0;0.0;0.0;0.0;0.0;2580582.0;2599782.0;2580582.0;0.0;;;;;False;2010;2010-01-01;4;7543
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2009;3.0;0.0;2320474.0;0.0;0.0;0.0;0.0;260108.0;0.0;0.0;0.0;0.0;0.0;0.0;2580582.0;2599782.0;2580582.0;0.0;;;;O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão apurado mensalmente.Para não haver duplicidade, nos casos em que um mesmo administrador ocupe cargo na diretoria e no conselho de administração, a remuneração está computada apenas na diretoria estatutária.;False;2011;2011-01-01;9;16048
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2009;3.0;0.0;2320474.0;0.0;0.0;0.0;0.0;260108.0;0.0;0.0;0.0;0.0;0.0;0.0;2580582.0;2599782.0;2580582.0;0.0;;;;O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão apurado mensalmente.Para não haver duplicidade, nos casos em que um mesmo administrador ocupe cargo na diretoria e no conselho de administração, a remuneração está computada apenas na diretoria estatutária.;False;2012;2012-01-01;8;26937
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2010;3.0;0.0;2322156.0;0.0;0.0;0.0;0.0;142644.0;0.0;0.0;0.0;0.0;0.0;0.0;2464800.0;2484000.0;2464800.0;0.0;;;;;True;2010;2010-01-01;4;7543
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2010;3.0;0.0;2322155.0;0.0;0.0;0.0;0.0;269579.0;0.0;0.0;0.0;0.0;0.0;0.0;2591734.0;2610934.0;2591734.0;0.0;;;;O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão apurado mensalmente.Para não haver duplicidade, nos casos em que um mesmo administrador ocupe cargo na diretoria e no conselho de administração, a remuneração está computada apenas na diretoria estatutária.;False;2011;2011-01-01;9;16048
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2010;3.0;0.0;2322155.0;0.0;0.0;0.0;0.0;269579.0;0.0;0.0;0.0;0.0;0.0;0.0;2591734.0;2610934.0;2591734.0;0.0;;;;O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão apurado mensalmente.Para não haver duplicidade, nos casos em que um mesmo administrador ocupe cargo na diretoria e no conselho de administração, a remuneração está computada apenas na diretoria estatutária.;False;2012;2012-01-01;8;26937
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2010;3.0;0.0;2322155.0;0.0;0.0;0.0;0.0;269579.0;0.0;0.0;0.0;0.0;0.0;0.0;2591734.0;2610934.0;2591734.0;0.0;;;;O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão apurado mensalmente.Para não haver duplicidade, nos casos em que um mesmo administrador ocupe cargo na diretoria e no conselho de administração, a remuneração está computada apenas na diretoria estatutária.;False;2013;2013-01-01;6;36647
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2011;3.0;0.0;2425206.0;0.0;0.0;0.0;0.0;605732.0;0.0;0.0;0.0;0.0;0.0;0.0;3030938.0;3357338.0;3030938.0;0.0;;;;O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão apurado mensalmente.Para não haver duplicidade, nos casos em que um mesmo administrador ocupe cargo na diretoria e no conselho de administração, a remuneração está computada apenas na diretoria estatutária.;True;2011;2011-01-01;9;16048
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2011;3.0;0.0;2425206.0;0.0;0.0;0.0;0.0;353023.0;0.0;0.0;0.0;0.0;0.0;0.0;2778229.0;3108069.0;2778229.0;0.0;;;;;False;2012;2012-01-01;8;26937
16.590.234/0001-76;AZZAS 2154 S.A.;Diretoria Estatutária;2011;3.0;0.0;2425206.0;0.0;0.0;0.0;0.0;353023.0;0.0;0.0;0.0;0.0;0.0;0.0;2778229.0;3108069.0;2778229.0;0.0;;;;(1) O número de membros de cada órgão corresponde à média anual do número de membros de cada órgão apurado mensalmente. Para não haver duplicidade, nos casos em que um mesmo administrador ocupe cargo na diretoria e no conselho de administração, a remuneração está computada apenas na diretoria estatutária.;False;2013;2013-01-01;6;36647
