orgao;exercicio;fonte;n_membros;n_remun;maxima;minima;media;total_orgao;media_implicita
Diretoria Estatutária;2016;FRE 2019 (v7);5.0;5.0;4030794.85;2105113.2;2666405.44;13332027.22;2666405.444
Diretoria Estatutária;2017;FRE 2020 (v16);4.17;4.17;4741732.2;2569293.16;3781682.21;15769614.8;3781682.206235012
Diretoria Estatutária;2018;FRE 2021 (v8);4.67;4.67;5115624.38;2669319.58;3448141.25;16102819.64;3448141.250535332
Diretoria Estatutária;2019;FRE 2022 (v4);5.0;5.0;10657267.76;5096917.51;6778916.73;33894583.67;6778916.734
Diretoria Estatutária;2020;FRE 2023 (v4);4.67;4.67;10195693.73;3129153.78;5436302.55;22751667.49;4871877.406852248
Diretoria Estatutária;2021;FRE 2024 (v8);4.0;4.0;9224750.31;4448562.73;5856216.54;23452647.39;5863161.8475
Diretoria Estatutária;2022;FRE 2025 (v9);4.0;4.0;9358701.09;4460933.36;4034678.54;16138714.15;4034678.5375
Diretoria Estatutária;2023;FRE 2026 (v3);4.25;4.25;7336322.61;4227947.4;4996679.3;21235887.03;4996679.301176471
Diretoria Estatutária;2024;FRE 2026 (v3);5.0;5.0;8492357.6;3202189.92;4889941.28;24310657.88;4862131.575999999
Diretoria Estatutária;2025;FRE 2026 (v3);5.0;5.0;10129016.99;3402452.08;5344917.27;26818152.35;5363630.470000001
Conselho de Administração;2016;FRE 2019 (v7);0.0;0.0;0.0;0.0;0.0;;
Conselho de Administração;2017;FRE 2020 (v16);0.0;0.0;0.0;0.0;0.0;;
Conselho de Administração;2018;FRE 2021 (v8);0.0;0.0;0.0;0.0;0.0;;
Conselho de Administração;2019;FRE 2022 (v4);1.25;1.0;385666.66;148333.3;752749.96;752749.96;752749.96
Conselho de Administração;2020;FRE 2023 (v4);5.0;4.17;1496083.33;575416.56;882993.33;3150034.75;755404.0167865708
Conselho de Administração;2021;FRE 2024 (v8);5.0;5.0;1753333.32;500000.04;822000.01;4110000.04;822000.008
Conselho de Administração;2022;FRE 2025 (v9);5.0;5.0;2424000.0;728000.02;830833.34;4154166.7;830833.3400000001
Conselho de Administração;2023;FRE 2026 (v3);5.0;5.0;660000.0;660000.0;660000.0;7563500.0;1512700.0
Conselho de Administração;2024;FRE 2026 (v3);5.0;5.0;2160000.0;660000.0;960000.0;4800000.0;960000.0
Conselho de Administração;2025;FRE 2026 (v3);5.0;5.0;2240000.0;684000.0;1003200.0;5016000.0;1003200.0
Conselho Fiscal;2016;FRE 2019 (v7);0.0;0.0;0.0;0.0;0.0;;
Conselho Fiscal;2017;FRE 2020 (v16);0.0;0.0;0.0;0.0;0.0;;
Conselho Fiscal;2018;FRE 2021 (v8);0.0;0.0;0.0;0.0;0.0;;
Conselho Fiscal;2019;FRE 2022 (v4);0.0;0.0;0.0;0.0;0.0;0.0;
Conselho Fiscal;2020;FRE 2023 (v4);0.0;0.0;0.0;0.0;0.0;0.0;
Conselho Fiscal;2021;FRE 2023 (v4);0.0;0.0;0.0;0.0;0.0;0.0;
Conselho Fiscal;2022;FRE 2025 (v9);2.0;2.0;100000.0;100000.0;100000.0;300000.0;150000.0
Conselho Fiscal;2023;FRE 2026 (v3);3.0;3.0;150000.0;150000.0;150000.0;472932.0;157644.0
Conselho Fiscal;2024;FRE 2026 (v3);1.0;1.0;55216.0;50000.0;51738.67;155216.0;155216.0
Conselho Fiscal;2025;FRE 2026 (v3);3.0;3.0;104000.0;104000.0;104000.0;312000.0;104000.0
