orgao;exercicio;fre;versao;id_doc;n_membros;n_remun;maxima;minima;media;total_orgao
Diretoria Estatutária;2016;2019;7;92411;5.0;5.0;4030794.85;2105113.2;2666405.44;13332027.22
Diretoria Estatutária;2017;2019;7;92411;4.17;4.17;4741732.2;2569293.16;3781682.21;15769614.8
Diretoria Estatutária;2017;2020;16;104576;4.17;4.17;4741732.2;2569293.16;3781682.21;15769614.8
Diretoria Estatutária;2018;2019;7;92411;4.67;4.67;5115624.38;2669319.58;3448141.25;16102819.64
Diretoria Estatutária;2018;2020;16;104576;4.67;4.67;5115624.38;2669319.58;3448141.25;16102819.64
Diretoria Estatutária;2018;2021;8;115612;4.67;4.67;5115624.38;2669319.58;3448141.25;16102819.64
Diretoria Estatutária;2019;2020;16;104576;5.0;5.0;10657267.76;5096917.51;6778916.73;33894583.67
Diretoria Estatutária;2019;2021;8;115612;5.0;5.0;10657267.76;5096917.51;6778916.73;33894583.67
Diretoria Estatutária;2019;2022;4;127200;5.0;5.0;10657267.76;5096917.51;6778916.73;33894583.67
Diretoria Estatutária;2020;2021;8;115612;4.67;4.67;10195693.73;3129153.78;5436302.55;25369411.9
Diretoria Estatutária;2020;2022;4;127200;4.67;4.67;10195693.73;3129153.78;5436302.55;25369411.9
Diretoria Estatutária;2020;2023;4;131429;4.67;4.67;10195693.73;3129153.78;5436302.55;22751667.49
Diretoria Estatutária;2021;2022;4;127200;4.0;4.0;9412744.39;4093708.38;5112650.47;20450601.86
Diretoria Estatutária;2021;2023;4;131429;4.0;4.0;9412744.39;4093708.38;5112650.47;16736603.2
Diretoria Estatutária;2021;2024;8;147526;4.0;4.0;9224750.31;4448562.73;5856216.54;23452647.39
Diretoria Estatutária;2022;2023;4;131429;4.0;4.0;9358701.09;4460933.36;5786126.89;16138714.15
Diretoria Estatutária;2022;2024;8;147526;4.0;4.0;6227015.13;3121683.58;3906803.54;16138714.15
Diretoria Estatutária;2022;2025;9;157300;4.0;4.0;9358701.09;4460933.36;4034678.54;16138714.15
Diretoria Estatutária;2023;2024;8;147526;5.0;4.75;6606353.94;3398002.45;4488712.59;21235887.03
Diretoria Estatutária;2023;2025;9;157300;4.25;4.25;7336322.61;4227947.4;4996679.3;21235887.03
Diretoria Estatutária;2023;2026;3;159084;4.25;4.25;7336322.61;4227947.4;4996679.3;21235887.03
Diretoria Estatutária;2024;2025;9;157300;5.0;5.0;8492357.6;3202189.92;4889941.28;24310657.88
Diretoria Estatutária;2024;2026;3;159084;5.0;5.0;8492357.6;3202189.92;4889941.28;24310657.88
Diretoria Estatutária;2025;2026;3;159084;5.0;5.0;10129016.99;3402452.08;5344917.27;26818152.35
Conselho de Administração;2016;2019;7;92411;0.0;0.0;0.0;0.0;0.0;
Conselho de Administração;2017;2019;7;92411;0.0;0.0;0.0;0.0;0.0;
Conselho de Administração;2017;2020;16;104576;0.0;0.0;0.0;0.0;0.0;
Conselho de Administração;2018;2019;7;92411;0.0;0.0;0.0;0.0;0.0;
Conselho de Administração;2018;2020;16;104576;0.0;0.0;0.0;0.0;0.0;
Conselho de Administração;2018;2021;8;115612;0.0;0.0;0.0;0.0;0.0;
Conselho de Administração;2019;2020;16;104576;1.25;1.0;385666.66;148333.3;752749.96;752749.96
Conselho de Administração;2019;2021;8;115612;1.25;1.0;385666.66;148333.3;752749.96;752749.96
Conselho de Administração;2019;2022;4;127200;1.25;1.0;385666.66;148333.3;752749.96;752749.96
Conselho de Administração;2020;2021;8;115612;5.0;4.17;1496083.33;575416.56;882993.33;3679138.88
Conselho de Administração;2020;2022;4;127200;5.0;4.17;1496083.33;575416.56;882993.33;3679138.88
Conselho de Administração;2020;2023;4;131429;5.0;4.17;1496083.33;575416.56;882993.33;3150034.75
Conselho de Administração;2021;2022;4;127200;5.0;5.0;2103999.98;599999.97;471333.32;2356666.59
Conselho de Administração;2021;2023;4;131429;5.0;5.0;2103999.98;599999.97;471333.32;4110000.04
Conselho de Administração;2021;2024;8;147526;5.0;5.0;1753333.32;500000.04;822000.01;4110000.04
Conselho de Administração;2022;2023;4;131429;5.0;5.0;2424000.0;728000.02;1108260.01;4154166.7
Conselho de Administração;2022;2024;8;147526;5.0;5.0;2020000.0;606666.68;983333.34;4154166.7
Conselho de Administração;2022;2025;9;157300;5.0;5.0;2424000.0;728000.02;830833.34;4154166.7
Conselho de Administração;2023;2024;8;147526;5.0;5.0;660000.0;660000.0;660000.0;7563500.0
Conselho de Administração;2023;2025;9;157300;5.0;5.0;660000.0;660000.0;660000.0;7563500.0
Conselho de Administração;2023;2026;3;159084;5.0;5.0;660000.0;660000.0;660000.0;7563500.0
Conselho de Administração;2024;2025;9;157300;5.0;5.0;2160000.0;660000.0;960000.0;4800000.0
Conselho de Administração;2024;2026;3;159084;5.0;5.0;2160000.0;660000.0;960000.0;4800000.0
Conselho de Administração;2025;2026;3;159084;5.0;5.0;2240000.0;684000.0;1003200.0;5016000.0
Conselho Fiscal;2016;2019;7;92411;0.0;0.0;0.0;0.0;0.0;
Conselho Fiscal;2017;2019;7;92411;0.0;0.0;0.0;0.0;0.0;
Conselho Fiscal;2017;2020;16;104576;0.0;0.0;0.0;0.0;0.0;
Conselho Fiscal;2018;2019;7;92411;0.0;0.0;0.0;0.0;0.0;
Conselho Fiscal;2018;2020;16;104576;0.0;0.0;0.0;0.0;0.0;
Conselho Fiscal;2018;2021;8;115612;0.0;0.0;0.0;0.0;0.0;
Conselho Fiscal;2019;2020;16;104576;0.0;0.0;0.0;0.0;0.0;0.0
Conselho Fiscal;2019;2021;8;115612;0.0;0.0;0.0;0.0;0.0;0.0
Conselho Fiscal;2019;2022;4;127200;0.0;0.0;0.0;0.0;0.0;0.0
Conselho Fiscal;2020;2021;8;115612;0.0;0.0;0.0;0.0;0.0;0.0
Conselho Fiscal;2020;2022;4;127200;0.0;0.0;0.0;0.0;0.0;0.0
Conselho Fiscal;2020;2023;4;131429;0.0;0.0;0.0;0.0;0.0;0.0
Conselho Fiscal;2021;2022;4;127200;0.0;0.0;0.0;0.0;0.0;0.0
Conselho Fiscal;2021;2023;4;131429;0.0;0.0;0.0;0.0;0.0;0.0
Conselho Fiscal;2022;2023;4;131429;3.0;3.0;100000.0;100000.0;100000.0;300000.0
Conselho Fiscal;2022;2024;8;147526;3.0;3.0;100000.0;100000.0;100000.0;300000.0
