cnpj;empresa;orgao;exercicio;maxima;media;minima;n_membros;n_membros_remunerados;total_orgao;fre_total_orgao;media_implicita;alertas;previsao;fre;data_referencia;versao;id_documento;setor;apelido;escala_corrigida
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2007;1047000.0;459000.0;418000.0;5.0;0.0;2295000.0;2010;;;False;2010;2010-01-01;5;7166;Malls;Allos;
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2008;1055000.0;661000.0;331000.0;5.0;0.0;3303000.0;2010;;;False;2010;2010-01-01;5;7166;Malls;Allos;
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2009;881000.0;0.0;304000.0;5.0;0.0;6409000.0;2012;;;False;2012;2012-01-01;4;24830;Malls;Allos;
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2010;1346013.51;937793.75;484072.32;3.0;0.0;4153000.0;2013;;;False;2013;2013-01-01;5;38205;Malls;Allos;
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2011;1547347.0;1269013.0;859909.0;4.0;0.0;5076051.0;2014;;;False;2014;2014-01-01;5;46811;Malls;Allos;
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2012;1566000.0;1227550.0;1014000.0;4.0;0.0;5754941.0;2015;;;False;2015;2015-01-01;5;56726;Malls;Allos;
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2013;1725000.0;1373273.0;1225500.0;3.33;3.33;5755676.0;2016;1728431.2312312312;media != total/n_remunerados;False;2016;2016-01-01;4;65840;Malls;Allos;
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2014;1903500.0;1579500.0;1386000.0;3.0;3.0;5612840.0;2017;1870946.6666666667;media != total/n_remunerados;False;2017;2017-01-01;5;73711;Malls;Allos;
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2015;2250004.0;1876218.0;1674607.0;3.0;3.0;6618176.12;2018;2206058.7066666665;media != total/n_remunerados;False;2018;2018-01-01;5;82623;Malls;Allos;
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2016;5166281.08;2929667.3;1394539.43;6.0;6.0;17578003.83;2019;2929667.3049999997;;False;2019;2019-01-01;13;93974;Malls;Allos;
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2017;5093285.63;2872872.0;1246386.86;6.0;6.0;18587720.1;2020;3097953.35;media != total/n_remunerados;False;2020;2020-01-01;8;103608;Malls;Allos;
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2018;15154834.75;4851264.15;1327993.73;5.3;5.3;27481583.33;2021;5185204.401886792;media != total/n_remunerados;False;2021;2021-01-01;10;114667;Malls;Allos;
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2019;8295621.0;3486007.0;2791952.0;5.08;5.08;28182035.75;2022;5547644.832677165;media != total/n_remunerados;False;2022;2022-01-01;14;127027;Malls;Allos;
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2020;11409347.0;3633251.0;1462648.0;8.0;8.0;29066007.35;2023;3633250.91875;;False;2023;2023-12-31;12;137501;Malls;Allos;
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2021;10650142.0;3597707.0;1727234.0;7.83;7.83;28182035.75;2024;3599238.282247765;;False;2024;2024-12-31;16;148218;Malls;Allos;
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2022;9916387.2;4541715.66;2285930.25;7.0;7.0;31792009.61;2025;4541715.658571429;;False;2025;2025-12-31;16;156680;Malls;Allos;
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2023;17104200.13;6091507.14;3445261.62;10.0;10.0;60915071.35;2026;6091507.135;;False;2026;2026-12-31;4;159528;Malls;Allos;
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2024;22348787.22;7147521.22;3761460.16;10.0;10.0;71475212.24;2026;7147521.223999999;;False;2026;2026-12-31;4;159528;Malls;Allos;
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2025;19079976.72;6982646.11;3904643.3;8.25;8.25;57606830.45;2026;6982646.115151515;;False;2026;2026-12-31;4;159528;Malls;Allos;
05.878.397/0001-32;ALLOS S.A.;Conselho de Administração;2007;0.0;0.0;0.0;6.0;0.0;0.0;2010;;;False;2010;2010-01-01;5;7166;Malls;Allos;
05.878.397/0001-32;ALLOS S.A.;Conselho de Administração;2008;0.0;0.0;0.0;6.0;0.0;0.0;2010;;;False;2010;2010-01-01;5;7166;Malls;Allos;
05.878.397/0001-32;ALLOS S.A.;Conselho de Administração;2009;0.0;0.0;0.0;6.0;0.0;0.0;2012;;;False;2012;2012-01-01;4;24830;Malls;Allos;
