cnpj;empresa;exercicio;remuneracao_total;remuneracao_diretoria;remuneracao_conselho_adm;remuneracao_conselho_fiscal;receita;acoes_integralizadas;acoes_tesouraria;acoes_ex_tesouraria;origem_acoes;tickers;preco_medio_ponderado;precos_por_classe;market_cap;rem_sobre_receita_pct;rem_sobre_market_cap_pct;previsao;parcela_previsao;receita_origem;alertas_mercado;setor;apelido
05.878.397/0001-32;ALLOS S.A.;2007;2295000.0;2295000.0;0.0;;;;;;;ON:ALOS3;;;;;;False;0.0;;sem DFP;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;2008;3303000.0;3303000.0;0.0;;;;;;;ON:ALOS3;;;;;;False;0.0;;sem DFP;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;2009;6409000.0;6409000.0;0.0;;154141000.0;;;;;ON:ALOS3;;;;4.157881420258075;;False;0.0;DRE_con 2010;sem quantidade de acoes;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;2010;4153000.0;4153000.0;0.0;;185009000.0;76423831.0;0.0;76423831.0;FRE;ON:ALOS3;;;;2.2447556605354335;;False;0.0;DRE_con 2010;sem cotacao no exercicio;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;2011;5220051.0;5076051.0;144000.0;;219185000.0;76423831.0;0.0;76423831.0;FRE;ON:ALOS3;23.889999389648438;ALOS3 23.89;1825765275.9445953;2.38157310034902;0.28591030121872074;False;0.0;DRE_con 2011;;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;2012;6088229.0;5754941.0;144000.0;189288.0;256851000.0;76423831.0;0.0;76423831.0;FRE;ON:ALOS3;30.549999237060547;ALOS3 30.55;2334747978.743244;2.370334941269452;0.26076600367279007;False;0.0;DRE_con 2012;;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;2013;6015920.0;5755676.0;165600.0;94644.0;275754000.0;76423831.0;0.0;76423831.0;FRE;ON:ALOS3;15.600000381469727;ALOS3 15.60;1192211792.753378;2.181625651849112;0.5046016183170282;False;0.0;DRE_con 2013;;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;2014;6090920.0;5612840.0;273600.0;204480.0;318724000.0;76423831.0;0.0;76423831.0;FRE;ON:ALOS3;15.550000190734863;ALOS3 15.55;1188390586.626689;1.9110327430629637;0.5125351941140334;False;0.0;DRE_con 2014;;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;2015;7302164.12;6618176.12;361728.0;322260.0;331180000.0;76423831.0;0.0;76423831.0;FRE;ON:ALOS3;15.100000381469727;ALOS3 15.10;1153999877.253378;2.204892843770759;0.6327699217247578;False;0.0;DRE_con 2015;;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;2016;17843110.979999997;17578003.83;121107.15;144000.0;342294000.0;76423831.0;0.0;76423831.0;FRE;ON:ALOS3;18.489999771118164;ALOS3 18.49;1413076617.6979733;5.2128027309856435;1.2627136247621167;False;0.0;DRE_con 2016;;Malls;Allos
