cnpj;empresa;orgao;exercicio;previsto_total;realizado_total;desvio_total;desvio_total_pct;previsto_membros;realizado_membros;desvio_membros;desvio_membros_pct;fre_previsao;fre_realizado;situacao;previsto_por_membro;realizado_por_membro;desvio_por_membro_pct;setor;apelido
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2007;;2295000.0;;;;5.0;;;;2010;so realizado;;459000.0;;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Conselho de Administração;2007;;0.0;;;;6.0;;;;2010;so realizado;;0.0;;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2008;;3303000.0;;;;5.0;;;;2011;so realizado;;660600.0;;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Conselho de Administração;2008;;0.0;;;;6.0;;;;2011;so realizado;;0.0;;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2009;;6409000.0;;;;5.0;;;;2012;so realizado;;1281800.0;;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Conselho de Administração;2009;;0.0;;;;6.0;;;;2012;so realizado;;0.0;;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2010;4033000.0;4153000.0;120000.0;2.9754525167369206;4.0;3.0;-1.0;-25.0;2010;2013;realizado;1008250.0;1384333.3333333333;37.30060335564922;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Conselho de Administração;2010;0.0;0.0;0.0;;6.0;6.0;0.0;0.0;2010;2013;realizado;0.0;0.0;;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2011;;5076051.0;;;;4.0;;;;2014;so realizado;;1269012.75;;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Conselho de Administração;2011;;144000.0;;;;7.0;;;;2014;so realizado;;20571.428571428572;;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2012;;5754941.0;;;;4.0;;;;2015;so realizado;;1438735.25;;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Conselho de Administração;2012;;144000.0;;;;7.0;;;;2015;so realizado;;20571.428571428572;;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Conselho Fiscal;2012;;189288.0;;;;2.0;;;;2015;so realizado;;94644.0;;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2013;6337000.0;5755676.0;-581324.0;-9.1734890326653;4.0;3.33;-0.6699999999999999;-16.75;2013;2016;realizado;1584250.0;1728431.2312312312;9.10091407487652;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Conselho de Administração;2013;149000.0;165600.0;16600.0;11.140939597315436;7.0;7.0;0.0;0.0;2013;2016;realizado;21285.714285714286;23657.14285714286;11.140939597315436;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Conselho Fiscal;2013;;94644.0;;;;1.0;;;;2016;so realizado;;94644.0;;Malls;Allos
