cnpj;empresa;orgao;exercicio;previsto_maxima;realizado_maxima;desvio_maxima;desvio_maxima_pct;previsto_media;realizado_media;desvio_media;desvio_media_pct;previsto_minima;realizado_minima;desvio_minima;desvio_minima_pct;fre_previsao;fre_realizado;situacao;setor;apelido
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2007;;1047000.0;;;;459000.0;;;;418000.0;;;;2010;so realizado;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Conselho de Administração;2007;;0.0;;;;0.0;;;;0.0;;;;2010;so realizado;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2008;;1055000.0;;;;661000.0;;;;331000.0;;;;2010;so realizado;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Conselho de Administração;2008;;0.0;;;;0.0;;;;0.0;;;;2010;so realizado;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2009;;881000.0;;;;0.0;;;;304000.0;;;;2012;so realizado;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Conselho de Administração;2009;;0.0;;;;0.0;;;;0.0;;;;2012;so realizado;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2010;;1346013.51;;;;937793.75;;;;484072.32;;;;2013;so realizado;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Conselho de Administração;2010;;0.0;;;;0.0;;;;0.0;;;;2013;so realizado;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2011;;1547347.0;;;;1269013.0;;;;859909.0;;;;2014;so realizado;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Conselho de Administração;2011;;144000.0;;;;144000.0;;;;0.0;;;;2014;so realizado;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2012;;1566000.0;;;;1227550.0;;;;1014000.0;;;;2015;so realizado;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Conselho de Administração;2012;;120000.0;;;;120000.0;;;;120000.0;;;;2015;so realizado;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Conselho Fiscal;2012;;47800.0;;;;31867.0;;;;47800.0;;;;2015;so realizado;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2013;;1725000.0;;;;1373273.0;;;;1225500.0;;;;2016;so realizado;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Conselho de Administração;2013;;138000.0;;;;138000.0;;;;138000.0;;;;2016;so realizado;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Conselho Fiscal;2013;;23900.0;;;;13450.0;;;;2390.0;;;;2016;so realizado;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2014;;1903500.0;;;;1579500.0;;;;1386000.0;;;;2017;so realizado;Malls;Allos
05.878.397/0001-32;ALLOS S.A.;Conselho de Administração;2014;;144000.0;;;;144000.0;;;;144000.0;;;;2017;so realizado;Malls;Allos
