cnpj;empresa;orgao;exercicio;n_membros;n_membros_remunerados;salario;beneficios;participacoes_comites;outros_fixos;bonus;participacao_resultados;participacao_reunioes;comissoes;outros_variaveis;pos_emprego;cessacao_cargo;baseada_acoes;total_orgao;total_empresa;soma_verbas;dif_soma_total;alertas_82;desc_outras_fixas;desc_outras_variaveis;observacao;previsao;fre;data_referencia;versao;id_documento;setor;apelido;total_orgao_original;escala_corrigida
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2007;5.0;0.0;1841000.0;98000.0;0.0;0.0;0.0;0.0;0.0;0.0;356000.0;0.0;0.0;0.0;2295000.0;2295000.0;2295000.0;0.0;;;Remuneração variável de curto prazo.;;False;2010;2010-01-01;5;7166;Malls;Allos;;
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2008;5.0;0.0;1819000.0;144000.0;0.0;0.0;0.0;0.0;0.0;0.0;1340000.0;0.0;0.0;0.0;3303000.0;3303000.0;3303000.0;0.0;;;Remuneração variável de curto e longo prazo.;;False;2010;2010-01-01;5;7166;Malls;Allos;;
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2008;5.0;0.0;1819000.0;144000.0;0.0;0.0;0.0;0.0;0.0;0.0;1340000.0;0.0;0.0;0.0;3303000.0;3303000.0;3303000.0;0.0;;;Remuneração variável de curto e longo prazo.;;False;2011;2011-01-01;8;16902;Malls;Allos;;
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2009;5.0;0.0;1962000.0;267000.0;0.0;0.0;0.0;0.0;0.0;0.0;4180000.0;0.0;0.0;0.0;6409000.0;6409000.0;6409000.0;0.0;;;Remuneração variável de curto e longo prazo.;;False;2010;2010-01-01;5;7166;Malls;Allos;;
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2009;5.0;0.0;1962000.0;267000.0;0.0;0.0;0.0;0.0;0.0;0.0;4180000.0;0.0;0.0;0.0;6409000.0;6409000.0;6409000.0;0.0;;;Remuneração variável de curto e longo prazo.;;False;2011;2011-01-01;8;16902;Malls;Allos;;
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2009;5.0;0.0;1962000.0;267000.0;0.0;0.0;0.0;0.0;0.0;0.0;4180000.0;0.0;0.0;0.0;6409000.0;6409000.0;6409000.0;0.0;;;Remuneração variável de curto e longo prazo.;;False;2012;2012-01-01;4;24830;Malls;Allos;;
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2010;4.0;0.0;2356000.0;130000.0;0.0;0.0;0.0;0.0;0.0;0.0;1547000.0;0.0;0.0;0.0;4033000.0;4033000.0;4033000.0;0.0;;;Remuneração variável de curto e longo prazo.;A Companhia não possui Conselho Fiscal.De acordo com a Assembleia Geral Ordinária e Extraordinária de 18 de março de 2010, o limite da remuneração global dos Conselheiros e Diretores para oexercício de 2010 é de R$10.000.000,00.Desde 30 de novembro de 2011, a Companhia conta com apenas 3 diretores estatutários.;True;2010;2010-01-01;5;7166;Malls;Allos;;
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2010;3.0;0.0;2604000.0;176000.0;0.0;0.0;0.0;0.0;0.0;0.0;1373000.0;0.0;0.0;0.0;4153000.0;4153000.0;4153000.0;0.0;;;Remuneração variável de curto e longo prazo.;;False;2011;2011-01-01;8;16902;Malls;Allos;;
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2010;3.0;0.0;2604000.0;176000.0;0.0;0.0;0.0;0.0;0.0;0.0;1373000.0;0.0;0.0;0.0;4153000.0;4153000.0;4153000.0;0.0;;;Remuneração variável de curto e longo prazo.;;False;2012;2012-01-01;4;24830;Malls;Allos;;
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2010;3.0;0.0;2604000.0;176000.0;0.0;0.0;0.0;0.0;0.0;0.0;1373000.0;0.0;0.0;0.0;4153000.0;4153000.0;4153000.0;0.0;;Remuneração fixa de curto e longo prazo.;Remuneração variável de curto e longo prazo.;;False;2013;2013-01-01;5;38205;Malls;Allos;;
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2011;4.0;0.0;2640000.0;297000.0;0.0;0.0;0.0;0.0;0.0;0.0;1216100.0;0.0;0.0;0.0;4153100.0;4273100.0;4153100.0;0.0;;;Remuneração variável de curto e longo prazo.;;False;2012;2012-01-01;4;24830;Malls;Allos;;
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2011;4.0;0.0;2889000.0;297000.0;0.0;1164000.0;0.0;0.0;0.0;0.0;777000.0;0.0;0.0;0.0;5127000.0;5220000.0;5127000.0;0.0;;Remuneração fixa de curto e longo prazo.;Remuneração variável de curto e longo prazo.;;False;2013;2013-01-01;5;38205;Malls;Allos;;
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2011;4.0;0.0;3364341.0;297015.0;0.0;637525.0;621736.0;0.0;0.0;0.0;155434.0;0.0;0.0;0.0;5076051.0;5220051.0;5076051.0;0.0;;INSS;INSS;;False;2014;2014-01-01;5;46811;Malls;Allos;;
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2012;4.0;0.0;2868000.0;335000.0;0.0;623712.0;0.0;0.0;0.0;0.0;1928000.0;0.0;0.0;0.0;5754712.0;6088000.0;5754712.0;0.0;;Remuneração fixa de curto e longo prazo.;Remuneração variável de curto e longo prazo.;;False;2013;2013-01-01;5;38205;Malls;Allos;;
05.878.397/0001-32;ALLOS S.A.;Diretoria Estatutária;2012;4.0;0.0;3765752.0;335050.0;0.0;763232.0;712726.0;0.0;0.0;0.0;178181.0;0.0;0.0;0.0;5754941.0;6088229.0;5754941.0;0.0;;INSS;INSS;;False;2014;2014-01-01;5;46811;Malls;Allos;;
