cnpj;empresa;orgao;exercicio;n_membros;n_membros_remunerados;total_orgao;salario;beneficios;bonus;participacao_resultados;baseada_acoes;previsao;fre;data_referencia;versao;id_documento
45.242.914/0001-05;C&A MODAS S.A.;Diretoria Estatutária;2016;5.0;5.0;13332027.22;5246282.18;703815.73;0.0;4324018.54;0.0;False;2019;2019-01-01;7;92411
45.242.914/0001-05;C&A MODAS S.A.;Diretoria Estatutária;2017;4.17;4.17;15769614.8;4813362.84;657555.81;0.0;4912676.1;0.0;False;2019;2019-01-01;7;92411
45.242.914/0001-05;C&A MODAS S.A.;Diretoria Estatutária;2017;4.17;4.17;15769614.8;4813362.84;657555.81;0.0;4912676.1;0.0;False;2020;2020-01-01;16;104576
45.242.914/0001-05;C&A MODAS S.A.;Diretoria Estatutária;2018;4.67;4.67;16102819.64;5826363.88;841015.05;0.0;5863366.23;0.0;False;2019;2019-01-01;7;92411
45.242.914/0001-05;C&A MODAS S.A.;Diretoria Estatutária;2018;4.67;4.67;16102819.64;5826363.88;841015.05;0.0;5863366.23;0.0;False;2020;2020-01-01;16;104576
45.242.914/0001-05;C&A MODAS S.A.;Diretoria Estatutária;2018;4.67;4.67;16102819.64;5826363.88;841015.05;0.0;5863366.23;0.0;False;2021;2021-01-01;8;115612
45.242.914/0001-05;C&A MODAS S.A.;Diretoria Estatutária;2019;5.0;0.0;53419898.26;6596023.83;1104884.57;13500000.0;7868930.88;20500000.0;True;2019;2019-01-01;7;92411
45.242.914/0001-05;C&A MODAS S.A.;Diretoria Estatutária;2019;5.0;5.0;33894583.67;6225705.18;934935.9;13611626.0;3329599.74;1766489.14;False;2020;2020-01-01;16;104576
45.242.914/0001-05;C&A MODAS S.A.;Diretoria Estatutária;2019;5.0;5.0;33894583.67;6225705.18;934935.9;13611626.0;3329599.74;1766489.14;False;2021;2021-01-01;8;115612
45.242.914/0001-05;C&A MODAS S.A.;Diretoria Estatutária;2019;5.0;5.0;33894583.67;6225705.18;934935.9;13611626.0;3329599.74;1766489.14;False;2022;2022-01-01;4;127200
45.242.914/0001-05;C&A MODAS S.A.;Diretoria Estatutária;2020;5.0;5.0;27273503.77;7921399.03;1165059.82;0.0;7454182.88;6952896.48;True;2020;2020-01-01;16;104576
45.242.914/0001-05;C&A MODAS S.A.;Diretoria Estatutária;2020;4.67;4.67;25369411.9;6575961.14;1057298.22;0.0;0.0;10668000.0;False;2021;2021-01-01;8;115612
45.242.914/0001-05;C&A MODAS S.A.;Diretoria Estatutária;2020;4.67;4.67;25369411.9;6575961.14;1057298.22;0.0;0.0;10668000.0;False;2022;2022-01-01;4;127200
45.242.914/0001-05;C&A MODAS S.A.;Diretoria Estatutária;2020;4.67;4.67;22751667.49;6575961.14;1057298.22;0.0;0.0;10668000.0;False;2023;2023-12-31;4;131429
45.242.914/0001-05;C&A MODAS S.A.;Diretoria Estatutária;2021;4.0;4.0;23015990.29;6410907.45;951385.17;0.0;6332259.52;6055169.6;True;2021;2021-01-01;8;115612
45.242.914/0001-05;C&A MODAS S.A.;Diretoria Estatutária;2021;4.0;4.0;20450601.86;5955292.4;896244.0;0.0;5340014.82;7905094.49;False;2022;2022-01-01;4;127200
45.242.914/0001-05;C&A MODAS S.A.;Diretoria Estatutária;2021;4.0;4.0;16736603.2;6225455.23;827976.95;0.0;3643955.81;5708000.0;False;2023;2023-12-31;4;131429
45.242.914/0001-05;C&A MODAS S.A.;Diretoria Estatutária;2021;4.0;4.0;23452647.39;6225455.23;827976.95;0.0;10360000.0;5708000.0;False;2024;2024-12-31;8;147526
45.242.914/0001-05;C&A MODAS S.A.;Diretoria Estatutária;2022;4.0;4.0;27321977.37;7331500.0;864666.65;0.0;7227000.0;11491761.15;True;2022;2022-01-01;4;127200
